Date_inv,Troncons_ID,Passage_num,Distance ,Vitesse,Technique,Heure_debut,Heure_fin,Temp_air,Couv_nuage,Vent,Obs,Initiales,Nom_fichier,Commentaires,,Passage_num = pour le drone seulement, ID du passage faunique pr�vue de 1 � 4 ,,,,,,,
16/06/2025,20,1,0,5,7,2,Drone,06:15,07:00,11,0,13,,,DJI_202506160649_006_T-20,2 passages, repositionnement,,,,,,,
16/06/2025,20,1,2,60,GoPro,05:53,06:08,,,,1,,,,,,,,,,,,,
16/06/2025,57,1,0,5,7,2,Drone,08:20,09:20,,,,0,,,Compliqu� avec la courbe et manque de batteries, passage non concluant � refaire * mise � jour du 16/02/2026 ce message �tait probablement destin� au T20. Cependant,' le drone n''est peut-�tre pas � une hauteur suffisante',,,,,,
16/06/2025,57,1,2,60,GoPro,07:48,07:58,,,,0,,,,,,,,,,,,,
25/06/2025,35,1,0,5,7,2,Drone,07:33,08:00,23,75,6,0,0,,DJI_202506250736_022_T35,,,,,,,,
25/06/2025,35,1,2,60,GoPro,07:20,07:24,,,,0,,,,,,,,,,,,,
25/06/2025,36,1,0,5,7,2,Drone,06:30,06:59,,50,4,0,0,,DJI_202506250651_021_T36vrai,,,,,,,,
25/06/2025,36,1,2,60,GoPro,06:18,06:21,21,15,,0,,,GoPro au centre du capot � partir de maintenant,,,,,,,,,,
01/07/2025,61,1,1,1,3,Pied,08:20,09:07,,,,1,,,,,,,,,,,,
01/07/2025,61,1,2,60,GoPro,07:58,08:02,,,,0,,,,,,,,,,,,,
01/07/2025,65,1,1,0,8,Pied,06:37,07:50,,,,2,,,Grenouille (prob LICL + raton laveur),,,,,,,,,
01/07/2025,65,1,2,60,GoPro,06:15,06:33,22,100,,0,,,,,,,,,,,,,
02/07/2025,41,1,2,60,GoPro,07:14,07:59,,,,0,,,,,,,,,,,,,
02/07/2025,41,1,0,5,7,2,Drone,07:34,07:45,,,22,0,0,,DJI_202507020729_024_Mortalite-A10-SE-1,,,,,,,,
02/07/2025,42,1,2,60,GoPro,07:00,07:12,,,,0,,,,,,,,,,,,,
02/07/2025,42,1,0,5,7,2,Drone,06:33,06:42,20,2,18,0,0,,DJI_202507020633_023_Mortalite-A10-NE-3,,,,,,,,
07/07/2025,3,1,0,5,7,2,Drone,06:23,06:53,,,15,0,0,,DJI_202507070630_025_T03,,,,,,,,
07/07/2025,3,1,2,60,GoPro,06:05,06:10,19,100,,0,,,,,,,,,,,,,
07/07/2025,9,1,1,0,8,Pied,07:28,08:42,,,,2,,,Mamm en morceaux + raton,,,,,,,,,
07/07/2025,9,1,2,60,GoPro,07:14,07:21,,,,0,,,,,,,,,,,,,
08/07/2025,15,1,1,0,7,Pied,05:36,07:00,,,,2,,,Grenouille + mamm moyen non identifi� (aplati). Pr�sence �galement de ce qui ressemble � des morceaux de chair aplatis (poulet?),,,,,,,,,
08/07/2025,15,1,2,60,GoPro,05:26,05:31,16,,,0,,,,,,,,,,,,,
08/07/2025,30,1,0,5,7,2,Drone,07:26,07:57,,,4,0,NA,,Aucun �l�ment - fichier perdu?,,,,,,,,
08/07/2025,30,1,2,60,GoPro,07:13,07:24,,,,0,,,,,,,,,,,,,
08/07/2025,31,1,0,5,7,2,Drone,08:20,08:50,19,50,2,0,0,,DJI_202507080829_027_T31,,,,,,,,
08/07/2025,31,1,2,60,GoPro,08:08,08:11,,,,0,,,,,,,,,,,,,
14/07/2025,22,1,2,60,GoPro,09:22,09:25,,,,0,,,,,,,,,,,,,
14/07/2025,22,1,1,0,8,Pied,07:58,09:13,,,,6,,,Obs audio LICL + barrage de castor. Mortalit� �cureuil gri, micrommamif�re, plusieurs oiseaux, non identifi� de taille moyenne et raton laveur? en d�composittion avanc�e,,,,,,
14/07/2025,45,1,2,60,GoPro,10:38,10:41,,,,0,,,,,,,,,,,,,
14/07/2025,45,1,1,0,7,Pied,09:35,10:28,,,,6,,,3 Grenouilles, 1 oiseau, un petit mammif�re,,,,,,,
14/07/2025,59,1,2,60,GoPro,07:50,07:54,,,,1,,,,,,,,,,,,,
14/07/2025,59,1,2,1,14,Pied,06:00,07:45,34,70,,50,,,Inventaire r�alis� des 2 c�t�s.Obs audio de 1-2 LICL, et 1 m�tamorphe brun vivant. Mortalit�s incluent plusieurs dizaines de grenouilles (au moins 1 LICL, plusieurs LIPI), quelques m�tamorphes, une CHSE juv�nile, plusieurs oiseaux (possiblement quelques poules/poussins de fermes � proximit� et des oiseaux sauvages) et 1 marmotte.,,,,
15/07/2025,40,1,0,5,7,2,Drone,07:18,07:25,,,,0,,DJI_202507150719_032_T40,,,,,,,,,
15/07/2025,40,1,2,60,GoPro,05:27,05:32,,,,0,,,,,,,,,,,,,
15/07/2025,47,1,0,5,7,2,Drone,06:34,06:42,,,,0,,DJI_202507150636_029_T47 et DJI_202507150636_030,Les deux vid�os ne semblent pas � la m�me hauteur,,,,,,,,
15/07/2025,47,1,2,60,GoPro,05:25,05:34,,,,0,,,,,,,,,,,,,
15/07/2025,49,1,0,5,7,2,Drone,05:45,06:09,20,0,15,0,0,,DJI_202507150550_028_T49,,,,,,,,
15/07/2025,49,1,2,60,GoPro,05:36,05:39,,,,0,,,,,,,,,,,,,
17/07/2025,26,2,2,60,GoPro,08:05,08:10,,,,0,,,,,,,,,,,,,
17/07/2025,26,2,1,1,1,Pied,06:30,07:20,24,80,,1,,,Obs audio LICL. Mortalit� micromammif�re.,,,,,,,,,
17/07/2025,48,2,2,1,Pied,08:35,09:30,,,,3,,,Micromammif�res.,,,,,,,,,,
17/07/2025,48,2,2,60,GoPro,08:16,08:33,,,,0,,,,,,,,,,,,,
18/07/2025,41,2,0,9,0,7,Pied,05:46,07:10,,,,1,,,Micromammif�re (mort). Obs audio LICL.,,,,,,,,
18/07/2025,41,2,2,60,GoPro,05:21,05:33,15,5,,1,,,Mortalit� aper�ue, p-� moufette (odeur),,,,,,,,,
18/07/2025,42,2,1,0,7,Pied,07:28,09:00,,,,7,,,Tortue (p-� peinte), CHSE, grenouille, mammif�re moyen (raton?), patte de mammif�re moyen x2, patte de cerf hors tron�on,,,,
18/07/2025,42,2,2,60,GoPro,05:23,05:35,,,,0,,,,,,,,,,,,,
21/07/2025,14,2,2,50,GoPro,08:13,08:16,,,,0,,,,,,,,,,,,,
21/07/2025,14,2,1,1,1,Pied,07:17,08:08,,,,3,,,Queue de rat musqu�, micromammif�re, lagomorphe.,,,,,,,
21/07/2025,39,2,2,60,GoPro,07:04,07:06,,,,0,,,,,,,,,,,,,
21/07/2025,39,2,1,1,1,Pied,06:04,06:59,16,0,,1,,,THSI. Beaucoup de sauterelles et insectes �cras�s.,,,,,,,,,
22/07/2025,2,2,1,1,3,Pied,05:36,06:23,,,,3,,,Grenouille (LICL?), musaraigne, oiseau. Obs audio LICL.,,,,,,,
22/07/2025,2,2,2,50,GoPro,05:23,05:28,14,0,,0,,,,,,,,,,,,,
22/07/2025,25,2,0,5,7,2,Drone,06:43,07:14,,,,0,,DJI_202507220648_033_T25vrai,,,,,,,,,
22/07/2025,25,2,2,60,GoPro,06:33,06:36,,,,0,,,,,,,,,,,,,
28/07/2025,40,2,0,5,,Drone,07:17,07:24,,,,0,,DJI_202507280717_036_T40,Manque certains bouts,,,,,,,,,
28/07/2025,40,2,2,,GoPro,06:22,06:27,,,,1,,,,,,,,,,,,,
28/07/2025,47,2,0,5,,Drone,06:47,06:55,,,,0,,DJI_202507280647_034_T47 et DJI_202507280647_035,,,,,,,,,,
28/07/2025,47,2,2,,GoPro,06:20,06:28,24,100,,0,,,,,,,,,,,,,
28/07/2025,49,2,2,,Pied,07:47,09:00,,,,3,,,THSI, Herp�tofaune non ID, grenouille (LICL?),' morceaux d''os', Tortue (en morceaux),,,,,,
28/07/2025,49,2,2,,GoPro,06:30,06:33,,,,0,,,,,,,,,,,,,
29/07/2025,61,2,2,60,GoPro,07:20,07:24,,,,0,,,,,,,,,,,,,
29/07/2025,61,2,0,5,7,2,Drone,06:28,06:50,22,,8,0,0,,DJI_202507290652_038_T61,,,,,,,,
29/07/2025,65,2,2,60,GoPro,06:15,06:22,,,,0,,,,,,,,,,,,,
29/07/2025,65,2,0,5,7,2,Drone,05:30,06:05,23,0,10,0,0,,DJI_202507290541_037_T65,,,,,,,,
30/07/2025,35,2,2,,Pied,06:58,08:50,,,,41,,,2 souris, 1 oiseau (poussin?), 1 oiseau (cardinal), 1 oiseau non id,  1 raton-laveur, 23  grenouilles, 9 LIPI, 2 STOC, 1 couleuvre non-id, 2 non-id, 3 �cureuils gris
30/07/2025,35,2,2,60,GoPro,06:51,06:55,,,,0,,,,,,,,,,,,,
30/07/2025,36,2,2,,Pied,05:28,06:30,,,,6,,,LIPI, 2 grenouilles, tortue,  non id, �cureuil gris,,,,,,
30/07/2025,36,2,2,60,GoPro,05:22,05:25,21,20,,0,,,,,,,,,,,,,
04/08/2025,52,2,2,60,GoPro,09:10,09:23,,,,2,,,,,,,,,,,,,
04/08/2025,52,2,1,,Pied,07:35,09:06,,,,6,,,2 ratons, 1 must�lid� (p�kan), 1 mouffette, 1 oiseau (chardonneret?), 1 mammif�re non-id,,,,,,
04/08/2025,53,2,2,60,GoPro,07:08,07:20,,,,0,,,,,,,,,,,,,
04/08/2025,53,2,0,5,7,2,Drone,06:54,07:00,,95,6,0,0,,DJI_202508040656_050_T53,,,,,,,,
04/08/2025,62,2,2,60,GoPro,06:20,06:28,,,,0,,,,,,,,,,,,,
04/08/2025,62,2,0,5,7,2,Drone,06:03,06:09,19,12,9,0,0,,DJI_202508040554_049_T62,,,,,,,,
05/08/2025,1,2,2,60,GoPro,06:17,06:21,,,,0,,,,,,,,,,,,,
05/08/2025,1,2,0,5,7,2,Drone,05:36,06:02,14,80,16,0,0,,DJI_202508050548_052_T01,,,,,,,,
05/08/2025,28,2,2,60,GoPro,07:02,07:05,,,,0,,,,,,,,,,,,,
05/08/2025,28,2,0,5,7,2,Drone,06:27,06:48,14,35,17,0,0,,DJI_202508050634_053_T28,,,,,,,,
06/08/2025,20,2,2,60,GoPro,06:14,06:18,,,,0,,,,,,,,,,,,,
06/08/2025,20,2,0,5,7,2,Drone,05:57,06:03,15,12,6,0,0,,DJI_202508060548_056_T20v2,,,,,,,,
06/08/2025,57,2,2,60,GoPro,07:06,07:15,,,,0,,,,,,,,,,,,,
06/08/2025,57,2,0,5,7,2,Drone,06:46,06:51,14,0,3,0,0,,DJI_202508060632_058_T57vrai,,,,,,,,
11/08/2025,30,2,1,,GoPro,09:22,09:26,,,,0,,,,,,,,,,,,,
11/08/2025,30,2,1,,Pied,07:59,09:07,,,,3,,,8 LICL, 1 THSI, 2 oiseaux,,,,,,,,
11/08/2025,31,2,2,,GoPro,07:47,07:50,,,,0,,,,,,,,,,,,,
11/08/2025,31,2,1,,Pied,06:35,07:37,22,0,,6,,,5 oiseaux, 1 micromammif�re,,,,,,,,,
12/08/2025,3,2,2,60,GoPro,07:36,07:40,,,,0,,,,,,,,,,,,,
12/08/2025,3,2,1,1,5,Pied,06:41,07:24,,,,1,,,Oiseau,,,,,,,,,
12/08/2025,9,2,1,75,GoPro,06:18,06:23,,,,0,,,,,,,,,,,,,
12/08/2025,9,2,1,,Pied,05:10,06:13,22,0,,1,,,1 rapace, 1 raton (m�me que la derni�re fois),,,,,,,,,
12/08/2025,15,2,2,60,GoPro,09:05,09:11,,,,0,,,,,,,,,,,,,
12/08/2025,15,2,1,1,25,Pied,07:45,08:30,,,,6,,,3 STOC, 1 oiseau, 1 micromammif�re, 1 mammif�re en morceaux (d�j� vu),,,,,,
13/08/2025,22,2,1,0,8,Pied,07:37,08:54,,,,12,,,1 raton,  5 oiseaux, 1 THSI, 2 grenouilles, 1 �cureuil, un mammif�re en morceaux, une cage thoracique,,,
13/08/2025,22,2,2,60,GoPro,07:27,07:36,,,,0,,,,,,,,,,,,,
13/08/2025,45,2,1,,Pied,09:16,10:12,,,,7,,,2 marmottes, 1 raton-laveur, 1 mammif�re en morceaux, 1 mammif�re, 1 grenouille,,,,,,
13/08/2025,45,2,2,75,GoPro,09:05,09:12,,,,1,,,,,,,,,,,,,
13/08/2025,59,2,2,2,Pied,05:48,07:20,,,,33,,,1 mammif�re (p-� raton, en morceaux), 1 micromammif�re, 2 oiseaux, 3 LIPI, 27 grenouilles non identifi�es,,,,,
13/08/2025,59,2,2,60,GoPro,05:42,05:46,24,75,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,e,,,,,,,,,,,,,,,,,,
